Date,Day,Num_Day,Month,Num_Month,Year,Time,Author,Message
23/11/2021,Martes,23,Nov,11,2021,13:27:00,user 52,"No es capricho de los comerciantes exigir el carnet. Es un asunto de ley, si no les gusta pueden demandar al estado, pero los comerciantes no tenemos nada que ver con el asunto, solo estamos sobreviviendo.  Por favor respeten."
23/11/2021,Martes,23,Nov,11,2021,13:28:00,user 11,Alejo no exijas respeto sobre algo que es una realidad para muchos
23/11/2021,Martes,23,Nov,11,2021,13:28:00,user 11,Lamento haberte ofendido
23/11/2021,Martes,23,Nov,11,2021,13:28:00,user 11,Pero es una realidad Muchos están perdiendo clientes muchossssss
23/11/2021,Martes,23,Nov,11,2021,13:29:00,user 11,"Lastima que no interpretes, pero si te ofende, simplemente no lo compartes eso es todo"
23/11/2021,Martes,23,Nov,11,2021,13:29:00,user 11,Los Comerciantes que se están quebrándome no tiene la culpa
23/11/2021,Martes,23,Nov,11,2021,13:29:00,user 52,Pero no lo pongas como si fuera un capricho de los comerciantes
23/11/2021,Martes,23,Nov,11,2021,13:29:00,user 52,Nosotros solo estamos cumpliendo la ley. Nos guste o no así es
23/11/2021,Martes,23,Nov,11,2021,13:29:00,user 11,No lol puse por eso
23/11/2021,Martes,23,Nov,11,2021,13:30:00,user 11,Esta circulando por todas partes
23/11/2021,Martes,23,Nov,11,2021,13:30:00,user 52,Cuando comparten eso lo ponen como si fuéramos nosotros los comerciantes los que nos inventamos eso
23/11/2021,Martes,23,Nov,11,2021,13:30:00,user 52,Entonces si es irrespetuoso compartirlo
23/11/2021,Martes,23,Nov,11,2021,13:30:00,user 11,Yo también tengo gastrobar
23/11/2021,Martes,23,Nov,11,2021,13:30:00,user 11,Y estoy sufriendo es una preocupación en todo el país
23/11/2021,Martes,23,Nov,11,2021,13:31:00,user 11,Vale la pena interpretarlo
23/11/2021,Martes,23,Nov,11,2021,13:31:00,user 24,"Más importante que un cliente es la salud, mi humilde opinión"
23/11/2021,Martes,23,Nov,11,2021,13:32:00,user 11,Claro
23/11/2021,Martes,23,Nov,11,2021,13:32:00,user 11,Solo compartí para informar …
23/11/2021,Martes,23,Nov,11,2021,13:32:00,user 52,Eso no es informar.
23/11/2021,Martes,23,Nov,11,2021,13:32:00,user 24,Está muy bn
23/11/2021,Martes,23,Nov,11,2021,13:33:00,user 11,Es que alejo ?
23/11/2021,Martes,23,Nov,11,2021,13:33:00,user 11,Esta circulando por las redes
23/11/2021,Martes,23,Nov,11,2021,13:33:00,user 52,Eso es una opinión. Y es una opinión que pone a los comerciantes como si fueran los que hacen las leyes
23/11/2021,Martes,23,Nov,11,2021,13:33:00,user 52,Y eso es muy delicado
23/11/2021,Martes,23,Nov,11,2021,13:33:00,user 11,Nooooo
23/11/2021,Martes,23,Nov,11,2021,13:33:00,user 52,Lea bien
23/11/2021,Martes,23,Nov,11,2021,13:34:00,user 24,"Sino volveremos a lo mismo y ahí si perdemos todo, ya están pensando en poner toque de queda para los no vacunados en todo el valle de aburra"
